treatcode	obsdate	swc1	swc2	swc3	swc4	swc5	swc6
TIR1-3-0-SEV-R570	0005-02-19	0.427	0.427	0.474	0.504	0.548	0.562
TIR1-3-0-SEV-R570	0005-05-19	0.427	0.427	0.474	0.499	0.54	0.553
TIR1-3-0-SEV-R570	0005-08-19	0.413	0.413	0.469	0.5	0.537	0.553
TIR1-3-0-SEV-R570	0005-11-19	0.36	0.36	0.407	0.458	0.508	0.524
TIR1-3-0-SEV-R570	0006-08-19	0.41	0.41	0.463	0.498	0.535	0.552
TIR1-3-0-SEV-R570	0006-10-19	0.373	0.373	0.438	0.487	0.527	0.539
TIR1-3-0-SEV-R570	0006-11-19	0.347	0.347	0.403	0.456	0.506	0.524
TIR1-3-0-SEV-R570	0007-01-19	0.376	0.376	0.437	0.481	0.523	0.538
TIR1-3-0-SEV-R570	0007-05-19	0.42	0.42	0.467	0.496	0.534	0.548
TIR1-3-0-SEV-R570	0007-07-19	0.456	0.456	0.492	0.512	0.542	0.547
TIR1-3-0-SEV-R570	0007-08-19	0.404	0.404	0.464	0.496	0.537	0.552
TIR1-3-0-SEV-R570	0007-09-19	0.407	0.407	0.469	0.5	0.535	0.545
TIR1-3-0-SEV-R570	0007-10-19	0.361	0.361	0.427	0.483	0.524	0.534
TIR1-3-0-SEV-R570	0007-12-19	0.308	0.308	0.38	0.424	0.477	0.489
TIR1-3-0-SEV-R570	0008-01-19	0.426	0.426	0.488	0.502	0.537	0.544
TIR1-3-0-SEV-R570	0008-07-19	0.441	0.441	0.482	0.507	0.547	0.553
TIR1-3-0-SEV-R570	0008-09-19	0.43	0.43	0.479	0.501	0.533	0.544
TIR1-3-0-SEV-R570	0008-12-19	0.306	0.306	0.379	0.429	0.479	0.487
TIR1-3-0-SEV-R570	0009-02-19	0.434	0.434	0.478	0.503	0.542	0.548
TIR1-3-0-SEV-R570	0009-06-19	0.419	0.419	0.466	0.495	0.53	0.543
TIR1-3-0-SEV-R570	0009-07-19	0.434	0.434	0.475	0.503	0.543	0.554
TIR1-3-0-SEV-R570	0009-09-19	0.433	0.433	0.48	0.504	0.535	0.543
TIR1-3-0-SEV-R570	0009-10-19	0.434	0.434	0.481	0.504	0.527	0.536
TIR1-3-0-SEV-R570	0009-11-19	0.329	0.329	0.397	0.45	0.499	0.517
TIR1-3-0-SEV-R570	0009-12-19	0.322	0.322	0.379	0.428	0.479	0.486
TIR1-3-0-SEV-R570	0009-12-19	0.434	0.434	0.477	0.482	0.502	0.514
TIR1-3-0-SEV-R570	0010-06-19	0.415	0.415	0.464	0.493	0.528	0.536
TIR1-3-0-SEV-R570	0010-08-19	0.388	0.388	0.454	0.494	0.532	0.55
TIR1-3-0-SEV-R570	0010-09-19	0.438	0.438	0.483	0.509	0.539	0.548
TIR1-3-0-SEV-R570	0010-11-19	0.327	0.327	0.394	0.447	0.496	0.515
TIR1-3-0-SEV-R570	0011-01-19	0.428	0.428	0.48	0.508	0.555	0.565
TIR1-3-0-SEV-R570	0011-05-19	0.425	0.425	0.465	0.496	0.533	0.546
TIR1-3-0-SEV-R570	0011-07-19	0.426	0.426	0.472	0.499	0.539	0.548
TIR1-3-0-SEV-R570	0011-08-19	0.386	0.386	0.453	0.494	0.531	0.545
TIR1-3-0-SEV-R570	0011-09-19	0.442	0.442	0.485	0.512	0.542	0.548
TIR1-3-0-SEV-R570	0011-11-19	0.327	0.327	0.394	0.446	0.495	0.51
TIR1-3-0-SEV-R570	0012-01-19	0.415	0.415	0.478	0.499	0.545	0.559
TIR1-3-0-SEV-R570	0012-02-19	0.441	0.441	0.484	0.512	0.559	0.57
TIR1-3-0-SEV-R570	0012-05-19	0.421	0.421	0.464	0.495	0.532	0.545
TIR1-3-0-SEV-R570	0012-08-19	0.377	0.377	0.447	0.491	0.529	0.546
TIR1-3-0-SEV-R570	0012-10-19	0.392	0.392	0.459	0.494	0.53	0.539
TIR1-3-0-SEV-R570	0012-11-19	0.325	0.325	0.394	0.446	0.494	0.51
TIR1-3-0-SEV-R570	0013-01-19	0.446	0.446	0.473	0.498	0.539	0.555
