rainfalldate	rainfall	wscode
03/09/2004	0	1031
04/09/2004	0	1031
05/09/2004	0	1031
06/09/2004	0	1031
07/09/2004	0	1031
08/09/2004	0	1031
09/09/2004	0	1031
10/09/2004	0	1031
11/09/2004	0	1031
12/09/2004	0	1031
13/09/2004	0	1031
14/09/2004	0	1031
15/09/2004	0	1031
16/09/2004	0	1031
17/09/2004	0	1031
18/09/2004	0	1031
19/09/2004	0	1031
20/09/2004	0	1031
21/09/2004	0	1031
22/09/2004	0	1031
23/09/2004	0	1031
24/09/2004	0	1031
25/09/2004	0	1031
26/09/2004	0	1031
27/09/2004	0	1031
28/09/2004	0	1031
29/09/2004	0	1031
30/09/2004	0	1031
01/10/2004	0	1031
02/10/2004	0	1031
03/10/2004	0	1031
04/10/2004	0	1031
05/10/2004	0	1031
06/10/2004	0	1031
07/10/2004	0	1031
08/10/2004	6.2	1031
09/10/2004	9.2	1031
10/10/2004	0	1031
11/10/2004	0	1031
12/10/2004	0	1031
13/10/2004	0	1031
14/10/2004	0	1031
15/10/2004	0	1031
16/10/2004	0	1031
17/10/2004	0	1031
18/10/2004	2.1	1031
19/10/2004	0	1031
20/10/2004	0	1031
21/10/2004	0	1031
22/10/2004	0	1031
23/10/2004	0	1031
24/10/2004	0	1031
25/10/2004	2.6	1031
26/10/2004	0	1031
27/10/2004	5.8	1031
28/10/2004	18.7	1031
29/10/2004	39	1031
30/10/2004	1.3	1031
31/10/2004	4.4	1031
01/11/2004	5.8	1031
02/11/2004	0	1031
03/11/2004	0	1031
04/11/2004	0	1031
05/11/2004	0	1031
06/11/2004	0	1031
07/11/2004	0	1031
08/11/2004	0	1031
09/11/2004	4	1031
10/11/2004	0	1031
11/11/2004	0	1031
12/11/2004	0	1031
13/11/2004	0	1031
14/11/2004	0	1031
15/11/2004	0	1031
16/11/2004	0	1031
17/11/2004	0	1031
18/11/2004	0	1031
19/11/2004	0	1031
20/11/2004	1	1031
21/11/2004	0	1031
22/11/2004	0	1031
23/11/2004	0	1031
24/11/2004	0	1031
25/11/2004	0	1031
26/11/2004	0	1031
27/11/2004	0	1031
28/11/2004	0	1031
29/11/2004	0	1031
30/11/2004	34	1031
01/12/2004	15.5	1031
02/12/2004	3.5	1031
03/12/2004	8.4	1031
04/12/2004	11.4	1031
05/12/2004	5.5	1031
