decade	rainfallmeand	wscode
21	0.47	97411102
22	1	97411102
23	0.88	97411102
24	0.69	97411102
25	1.07	97411102
26	0.6	97411102
27	0.58	97411102
28	1.1	97411102
29	1.17	97411102
30	0.7	97411102
31	0.39	97411102
32	1.3	97411102
33	2.27	97411102
34	5.75	97411102
35	2.75	97411102
36	3.26	97411102
1	0.4	97411103
2	1.63	97411103
3	5.5	97411103
4	7.79	97411103
5	5.67	97411103
6	1.2	97411103
7	1.65	97411103
8	8.28	97411103
9	1.35	97411103
10	0.14	97411103
11	0.92	97411103
12	2.85	97411103
13	0.55	97411103
14	1.59	97411103
15	1.33	97411103
16	2.46	97411103
17	0.06	97411103
18	0.18	97411103
19	0.25	97411103
20	2.65	97411103
21	1.06	97411103
22	1.58	97411103
23	0.89	97411103
24	0.92	97411103
25	1.25	97411103
26	0.28	97411103
27	0.2	97411103
28	0.85	97411103
29	1.11	97411103
30	0.51	97411103
31	0.23	97411103
32	0.23	97411103
33	0.73	97411103
34	0.59	97411103
35	1.53	97411103
36	2.18	97411103
1	1.97	97411105
2	1.09	97411105
3	4.45	97411105
4	9.77	97411105
5	8.94	97411105
6	13.05	97411105
7	2.26	97411105
8	6.77	97411105
9	2.15	97411105
10	0.91	97411105
11	1.14	97411105
12	1.72	97411105
13	0.57	97411105
14	0.38	97411105
15	1.91	97411105
16	0.73	97411105
17	0.01	97411105
18	0.29	97411105
19	0.86	97411105
20	1.47	97411105
21	0.65	97411105
22	1.17	97411105
23	0.51	97411105
24	0.93	97411105
25	1.03	97411105
26	0.71	97411105
27	0.78	97411105
28	1.1	97411105
29	0.71	97411105
30	0.84	97411105
31	0.5	97411105
32	2.37	97411105
33	0.58	97411105
34	5.06	97411105
35	2.9	97411105
36	1.9	97411105
1	3.73	97411120
2	6.13	97411120
3	6.61	97411120
4	6.92	97411120
5	8.63	97411120
6	8.72	97411120
7	6.19	97411120
8	6.07	97411120
9	3.7	97411120
10	1.9	97411120
11	3.38	97411120
12	3.28	97411120
13	2.92	97411120
14	2.13	97411120
15	2.18	97411120
16	0.89	97411120
17	1.19	97411120
18	1.17	97411120
19	0.75	97411120
20	1.69	97411120
21	0.85	97411120
22	1.22	97411120
23	1.56	97411120
24	1.24	97411120
25	1.48	97411120
26	0.99	97411120
27	1.04	97411120
28	1.61	97411120
29	1.38	97411120
30	1.78	97411120
31	1.07	97411120
32	1.5	97411120
33	2.61	97411120
34	7.33	97411120
35	3.31	97411120
36	3.86	97411120
1	3.47	97411126
2	4.38	97411126
3	5.96	97411126
4	8.09	97411126
5	10.7	97411126
6	8.53	97411126
7	6.22	97411126
8	5.54	97411126
9	3.75	97411126
10	1.62	97411126
11	2.83	97411126
12	2.71	97411126
13	3.42	97411126
14	1.64	97411126
15	1.85	97411126
16	1.4	97411126
17	1.3	97411126
18	0.59	97411126
19	0.77	97411126
20	1.18	97411126
21	0.75	97411126
22	1.2	97411126
23	1.63	97411126
24	0.76	97411126
25	1.33	97411126
26	0.94	97411126
27	1.08	97411126
28	1	97411126
29	1.23	97411126
30	1.12	97411126
31	0.69	97411126
32	1.32	97411126
33	2.72	97411126
34	7.01	97411126
35	3.64	97411126
36	4.42	97411126
1	3.18	97411132
2	3.9	97411132
3	5.24	97411132
4	6.75	97411132
5	8.68	97411132
6	8.02	97411132
7	5.83	97411132
8	5.81	97411132
9	3.28	97411132
10	1.25	97411132
11	2.49	97411132
12	2.46	97411132
13	2.75	97411132
14	1.55	97411132
15	1.42	97411132
16	1.09	97411132
17	1.1	97411132
18	1.45	97411132
19	0.72	97411132
20	0.85	97411132
21	0.56	97411132
22	1.13	97411132
23	1.49	97411132
24	0.76	97411132
25	0.81	97411132
26	0.74	97411132
27	0.8	97411132
28	0.83	97411132
29	1.19	97411132
30	0.74	97411132
31	0.46	97411132
32	1.07	97411132
33	1.85	97411132
34	5.13	97411132
35	2.92	97411132
36	3.95	97411132
1	4.78	97411141
2	1.14	97411141
3	5.71	97411141
4	9.09	97411141
5	6.83	97411141
6	11.86	97411141
7	3.29	97411141
8	5.92	97411141
9	0.96	97411141
10	0.59	97411141
11	0.21	97411141
12	3.17	97411141
13	0.43	97411141
14	0.49	97411141
15	1.99	97411141
16	0.22	97411141
17	0.03	97411141
18	0.19	97411141
19	0.49	97411141
20	0.61	97411141
21	0.48	97411141
22	0.69	97411141
23	0.19	97411141
24	0.82	97411141
25	0.77	97411141
26	0.48	97411141
27	0.36	97411141
28	1.22	97411141
29	0.51	97411141
30	1.03	97411141
31	0.43	97411141
32	3.09	97411141
33	0.94	97411141
34	5.1	97411141
35	2.52	97411141
36	1.4	97411141
1	5.24	97411150
2	5.92	97411150
3	8.5	97411150
4	8.76	97411150
5	12.38	97411150
6	9.4	97411150
7	7.51	97411150
8	6.41	97411150
9	4.71	97411150
10	3.06	97411150
11	4.29	97411150
12	3.45	97411150
13	3.73	97411150
14	2.2	97411150
15	2.16	97411150
16	1.54	97411150
17	0.5	97411150
18	1.37	97411150
19	0.88	97411150
20	1.46	97411150
21	0.88	97411150
22	1.57	97411150
23	2.06	97411150
24	1.21	97411150
25	2.11	97411150
26	1.53	97411150
27	1.64	97411150
28	1.9	97411150
29	1.56	97411150
30	1.65	97411150
31	1.68	97411150
32	1.81	97411150
33	3.57	97411150
34	7.21	97411150
35	5.72	97411150
36	4.07	97411150
1	7.5	97412340
2	5.9	97412340
3	7.57	97412340
4	7.15	97412340
5	10.27	97412340
6	13.81	97412340
7	11.74	97412340
8	5.76	97412340
9	7.47	97412340
10	6.84	97412340
11	8.14	97412340
12	5.82	97412340
13	6.15	97412340
14	4.01	97412340
15	1.68	97412340
16	7.8	97412340
17	3.09	97412340
18	6.1	97412340
19	7.66	97412340
20	7.51	97412340
21	5.21	97412340
22	3.26	97412340
23	2.79	97412340
24	4.69	97412340
25	3.09	97412340
26	3.95	97412340
27	1.6	97412340
28	2.21	97412340
29	1.44	97412340
30	2.33	97412340
31	2.29	97412340
32	1.61	97412340
33	3.08	97412340
34	6.63	97412340
35	4.73	97412340
36	2.82	97412340
1	8.2	97412356
2	4.25	97412356
3	7.06	97412356
4	9.86	97412356
5	14.5	97412356
6	15.63	97412356
7	15.21	97412356
8	7.74	97412356
9	11.07	97412356
10	12.84	97412356
11	10.69	97412356
12	8.46	97412356
13	11.07	97412356
14	8.19	97412356
15	4.77	97412356
16	10.41	97412356
17	6.67	97412356
18	10.66	97412356
19	13.87	97412356
20	12.45	97412356
21	8.1	97412356
22	7.14	97412356
23	5.76	97412356
24	10.3	97412356
25	5.4	97412356
26	7.39	97412356
27	3.76	97412356
28	3.75	97412356
29	4.28	97412356
30	3.8	97412356
31	4.82	97412356
32	2.61	97412356
33	4.61	97412356
34	7.36	97412356
35	4.81	97412356
36	3.69	97412356
1	6.78	97412360
2	4.62	97412360
3	5.93	97412360
4	6.13	97412360
5	10.48	97412360
6	11.86	97412360
7	10.88	97412360
8	5.59	97412360
9	7.97	97412360
10	8.87	97412360
11	7.72	97412360
12	7.53	97412360
13	8.22	97412360
14	6.17	97412360
15	3.06	97412360
16	7.62	97412360
17	4.43	97412360
18	5.78	97412360
19	8.52	97412360
20	7.88	97412360
21	5.2	97412360
22	4.15	97412360
23	3.38	97412360
24	4.76	97412360
25	2.42	97412360
26	3.45	97412360
27	1.35	97412360
28	3.19	97412360
29	1.95	97412360
30	2.78	97412360
31	3.2	97412360
32	1.53	97412360
33	3.76	97412360
34	5.93	97412360
35	3.72	97412360
36	2.13	97412360
1	-999	97412361
2	-999	97412361
3	-999	97412361
4	-999	97412361
5	-999	97412361
6	-999	97412361
7	-999	97412361
8	-999	97412361
9	-999	97412361
10	-999	97412361
11	-999	97412361
12	-999	97412361
13	-999	97412361
14	-999	97412361
15	-999	97412361
16	-999	97412361
17	-999	97412361
18	-999	97412361
19	-999	97412361
20	-999	97412361
21	-999	97412361
22	-999	97412361
23	-999	97412361
24	-999	97412361
25	-999	97412361
26	-999	97412361
27	-999	97412361
28	-999	97412361
29	-999	97412361
30	-999	97412361
31	-999	97412361
32	-999	97412361
33	-999	97412361
34	-999	97412361
35	-999	97412361
36	-999	97412361
1	6.87	97412368
2	4.67	97412368
3	6.1	97412368
4	8.08	97412368
5	10.13	97412368
6	9.92	97412368
7	12.52	97412368
8	6.68	97412368
9	7.03	97412368
10	11.27	97412368
11	9.89	97412368
12	8.17	97412368
13	10.3	97412368
14	6.97	97412368
15	3.81	97412368
16	5.42	97412368
17	3.23	97412368
18	8.05	97412368
19	9.33	97412368
20	8.33	97412368
21	6.1	97412368
22	5.62	97412368
23	6.71	97412368
24	6.43	97412368
25	3.93	97412368
26	5.58	97412368
27	3.95	97412368
28	2.99	97412368
29	4.37	97412368
30	2.78	97412368
31	2.88	97412368
32	1.45	97412368
33	3.33	97412368
34	6.11	97412368
35	3.32	97412368
36	3.51	97412368
1	2.59	97412376
2	0.73	97412376
3	3.89	97412376
4	6.06	97412376
5	9.01	97412376
6	10.14	97412376
7	4.55	97412376
8	4.14	97412376
9	5.96	97412376
10	1.68	97412376
11	4.57	97412376
12	6.3	97412376
13	3.91	97412376
14	2.74	97412376
15	2.66	97412376
16	2.02	97412376
17	0.26	97412376
18	3.74	97412376
19	5.74	97412376
20	11.9	97412376
21	3.91	97412376
22	2.49	97412376
23	0.66	97412376
24	3.8	97412376
25	1.14	97412376
26	6.36	97412376
27	2.2	97412376
28	1.57	97412376
29	1.3	97412376
30	0.72	97412376
31	1.31	97412376
32	0.84	97412376
33	1.67	97412376
34	4.77	97412376
35	2.8	97412376
36	0.25	97412376
1	8.18	97413530
2	6.05	97413530
3	7.07	97413530
4	9.29	97413530
5	7.32	97413530
6	6.61	97413530
7	7.31	97413530
8	4.35	97413530
9	4.43	97413530
10	3.61	97413530
11	2.92	97413530
12	2.92	97413530
13	1.97	97413530
14	1.6	97413530
15	1.81	97413530
16	1.58	97413530
17	0.79	97413530
18	1.12	97413530
19	0.93	97413530
20	0.65	97413530
21	0.52	97413530
22	0.29	97413530
23	0.64	97413530
24	1.19	97413530
25	0.9	97413530
26	0.86	97413530
27	0.98	97413530
28	1.6	97413530
29	0.95	97413530
30	1.45	97413530
31	2.21	97413530
32	2.83	97413530
33	3.51	97413530
34	5.05	97413530
35	5.59	97413530
36	6.28	97413530
1	1.37	97413536
2	1.89	97413536
3	1.49	97413536
4	2.46	97413536
5	2.11	97413536
6	4.23	97413536
7	2.97	97413536
8	0.41	97413536
9	0.88	97413536
10	1.22	97413536
11	1.3	97413536
12	0.76	97413536
13	0.42	97413536
14	0.44	97413536
15	0.98	97413536
16	0.3	97413536
17	0.09	97413536
18	0.26	97413536
19	0.06	97413536
20	0.3	97413536
21	0.25	97413536
22	0.02	97413536
23	0.26	97413536
24	0.37	97413536
25	0.4	97413536
26	0.05	97413536
27	0.05	97413536
28	0.14	97413536
29	0.51	97413536
30	0.4	97413536
31	0.15	97413536
32	0.16	97413536
33	0.48	97413536
34	1.84	97413536
35	1.51	97413536
36	1.88	97413536
1	1.98	97413555
2	1.88	97413555
3	3.74	97413555
4	1.58	97413555
5	2.89	97413555
6	1.95	97413555
7	1.22	97413555
8	1.11	97413555
9	0.81	97413555
10	1.48	97413555
11	2.67	97413555
12	0.88	97413555
13	0.56	97413555
14	1.36	97413555
15	1.62	97413555
16	0.91	97413555
