obsplantdate;obsplantlib;obsplantval;varcyclecode
27/09/2005;mstu;36.91168;BCSU-0-0-IRR-SP832847
27/09/2005;nblts;34.333;BCSU-0-0-IRR-SP832847
27/09/2005;nblvs;8.333;BCSU-0-0-IRR-SP832847
27/09/2005;nbtigv;10.476;BCSU-0-0-IRR-SP832847
27/09/2005;nbtv;10.476;BCSU-0-0-IRR-SP832847
10/12/2004;htvds;7.863;BCSU-0-0-PLU-NCO376
10/12/2004;lai;0.023;BCSU-0-0-PLU-NCO376
10/12/2004;mftu;0;BCSU-0-0-PLU-NCO376
19/07/2010;mftu;104.62222;DSES-1-0-AAA-R579
10/12/2004;mslv;0.03033;BCSU-0-0-PLU-NCO376
10/12/2004;mstu;0;BCSU-0-0-PLU-NCO376
10/12/2004;nbtigv;3.333;BCSU-0-0-PLU-NCO376
10/12/2004;nbtv;3.333;BCSU-0-0-PLU-NCO376
05/01/2005;htvds;21.813;BCSU-0-0-PLU-NCO376
05/01/2005;nblts;8.813;BCSU-0-0-PLU-NCO376
05/01/2005;nblvs;7.813;BCSU-0-0-PLU-NCO376
05/01/2005;nbtv;7.024;BCSU-0-0-PLU-NCO376
24/01/2005;htvds;39.375;BCSU-0-0-PLU-NCO376
24/01/2005;nblts;12.313;BCSU-0-0-PLU-NCO376
24/01/2005;nblvs;7.813;BCSU-0-0-PLU-NCO376
24/01/2005;nbtv;9.881;BCSU-0-0-PLU-NCO376
15/02/2005;htvds;62.25;BCSU-0-0-PLU-NCO376
13/09/2010;mftu;127.52222;DSES-1-0-AAA-R579
15/02/2005;mslv;2.31067;BCSU-0-0-PLU-NCO376
15/02/2005;mstu;1.5862;BCSU-0-0-PLU-NCO376
15/02/2005;nblts;14.626;BCSU-0-0-PLU-NCO376
15/02/2005;nblvs;6.438;BCSU-0-0-PLU-NCO376
15/02/2005;nbtigv;10.179;BCSU-0-0-PLU-NCO376
15/02/2005;nbtv;10.179;BCSU-0-0-PLU-NCO376
07/03/2005;htvds;86.313;BCSU-0-0-PLU-NCO376
07/03/2005;lai;2.683;BCSU-0-0-PLU-NCO376
07/03/2005;mftu;31.19;BCSU-0-0-PLU-NCO376
15/11/2010;mftu;17.96667;DSES-1-0-AAA-R579
07/03/2005;mslv;3.15083;BCSU-0-0-PLU-NCO376
07/03/2005;mstu;9.68923;BCSU-0-0-PLU-NCO376
07/03/2005;nblts;17.938;BCSU-0-0-PLU-NCO376
07/03/2005;nblvs;7.75;BCSU-0-0-PLU-NCO376
07/03/2005;nbtigv;10.357;BCSU-0-0-PLU-NCO376
07/03/2005;nbtv;10.357;BCSU-0-0-PLU-NCO376
11/04/2005;htvds;138;BCSU-0-0-PLU-NCO376
11/04/2005;nblts;22.376;BCSU-0-0-PLU-NCO376
11/04/2005;nblvs;8.563;BCSU-0-0-PLU-NCO376
11/04/2005;nbtv;10.06;BCSU-0-0-PLU-NCO376
31/05/2005;htvds;172.75;BCSU-0-0-PLU-NCO376
31/05/2005;lai;5.542;BCSU-0-0-PLU-NCO376
17/02/2010;mftu;70.17778;DSES-1-0-AAA-R585
31/05/2005;mslv;6.50779;BCSU-0-0-PLU-NCO376
31/05/2005;mstu;30.11951;BCSU-0-0-PLU-NCO376
31/05/2005;nblts;25.25;BCSU-0-0-PLU-NCO376
31/05/2005;nblvs;5.125;BCSU-0-0-PLU-NCO376
31/05/2005;nbtigv;10.536;BCSU-0-0-PLU-NCO376
31/05/2005;nbtv;10.536;BCSU-0-0-PLU-NCO376
27/07/2005;htvds;194.938;BCSU-0-0-PLU-NCO376
31/03/2010;mftu;104.37778;DSES-1-0-AAA-R585
27/07/2005;mslv;7.36526;BCSU-0-0-PLU-NCO376
27/07/2005;mstu;35.84876;BCSU-0-0-PLU-NCO376
27/07/2005;nblts;28.438;BCSU-0-0-PLU-NCO376
27/07/2005;nblvs;6.438;BCSU-0-0-PLU-NCO376
27/07/2005;nbtigv;10.298;BCSU-0-0-PLU-NCO376
27/07/2005;nbtv;10.298;BCSU-0-0-PLU-NCO376
27/09/2005;htvds;207.25;BCSU-0-0-PLU-NCO376
27/09/2005;lai;3.734;BCSU-0-0-PLU-NCO376
27/09/2005;mftu;138.33;BCSU-0-0-PLU-NCO376
25/05/2010;mftu;135.15556;DSES-1-0-AAA-R585
27/09/2005;mslv;7.23944;BCSU-0-0-PLU-NCO376
27/09/2005;mstu;36.71;BCSU-0-0-PLU-NCO376
27/09/2005;nblts;33.063;BCSU-0-0-PLU-NCO376
27/09/2005;nblvs;6.25;BCSU-0-0-PLU-NCO376
27/09/2005;nbtigv;10.536;BCSU-0-0-PLU-NCO376
27/09/2005;nbtv;10.536;BCSU-0-0-PLU-NCO376
10/12/2004;htvds;4.25;BCSU-0-0-PLU-R570
10/12/2004;lai;0.021;BCSU-0-0-PLU-R570
10/12/2004;mftu;0;BCSU-0-0-PLU-R570
19/07/2010;mftu;137.6;DSES-1-0-AAA-R585
10/12/2004;mslv;0.02421;BCSU-0-0-PLU-R570
10/12/2004;mstu;0;BCSU-0-0-PLU-R570
10/12/2004;nbtigv;2.143;BCSU-0-0-PLU-R570
10/12/2004;nbtv;2.143;BCSU-0-0-PLU-R570
05/01/2005;htvds;15.5;BCSU-0-0-PLU-R570
05/01/2005;nblts;7.375;BCSU-0-0-PLU-R570
05/01/2005;nblvs;6.375;BCSU-0-0-PLU-R570
05/01/2005;nbtv;5.119;BCSU-0-0-PLU-R570
24/01/2005;htvds;26.875;BCSU-0-0-PLU-R570
24/01/2005;nblts;10.5;BCSU-0-0-PLU-R570
24/01/2005;nblvs;6.375;BCSU-0-0-PLU-R570
24/01/2005;nbtv;6.548;BCSU-0-0-PLU-R570
15/02/2005;htvds;41;BCSU-0-0-PLU-R570
13/09/2010;mftu;132.68889;DSES-1-0-AAA-R585
15/02/2005;mslv;1.35759;BCSU-0-0-PLU-R570
15/02/2005;nblts;13;BCSU-0-0-PLU-R570
15/02/2005;nblvs;6;BCSU-0-0-PLU-R570
15/02/2005;nbtigv;6.667;BCSU-0-0-PLU-R570
15/02/2005;nbtv;6.667;BCSU-0-0-PLU-R570
07/03/2005;htvds;62.625;BCSU-0-0-PLU-R570
07/03/2005;lai;2.259;BCSU-0-0-PLU-R570
07/03/2005;mftu;18.09;BCSU-0-0-PLU-R570
15/11/2010;mftu;25.94444;DSES-1-0-AAA-R585
07/03/2005;mslv;2.2534;BCSU-0-0-PLU-R570
07/03/2005;mstu;4.8766;BCSU-0-0-PLU-R570
