treatcode	obsdate	calage	stagnb	stadnb	stafnb	stahtvd	blatnb	blagnb	blastvd	glai	ei	stamsu	stamfm	stamdm	stamwc	stamsuc	stamfbc	stambjc	stampur	blagdm	bladm	agrfm	agrdm	agrwc	sendm
CP02-0-0-AAA-R570	14-03-1994	1	7.07	-999	-999	-999	34.35	9.76	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP02-0-0-AAA-R570	15-04-1993	1	11.18	2.3	-999	-999	10.24	9.83	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP02-0-0-AAA-R570	16-11-1993	1	8.82	-999	-999	-999	24.18	10.18	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP02-0-0-AAA-R570	16-12-1993	1	8.26	-999	-999	-999	26.59	11.41	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP02-0-0-AAA-R570	18-06-1993	1	12.3	-999	-999	-999	15.65	12.12	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP02-0-0-AAA-R570	19-05-1993	1	12.48	2.95	-999	-999	13.59	11.65	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP02-0-0-AAA-R570	20-07-1993	1	11.93	-999	-999	-999	17.41	11.88	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP02-0-0-AAA-R570	23-03-1993	1	8.07	1.03	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP02-0-0-AAA-R570	26-01-1994	1	7.9	-999	-999	-999	30.41	11.53	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP02-0-0-AAA-R570	28-02-1993	1	3.73	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP02-0-0-AAA-R570	29-01-1993	1	3.22	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP02-0-0-AAA-R570	30-03-1993	1	9.73	1.63	-999	-999	8.5	8.31	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP02-1-0-AAA-R570	02-12-1994	1	11.55	0	-999	-999	11.55556	11.55556	-999	0.52	0.22	0	0	0	-999	-999	-999	-999	-999	0.384293	0.394	-999	0.5984	-999	0.02
CP02-1-0-AAA-R570	03-02-1995	1	18.77	1.88	-999	-999	20.66667	18.77778	-999	2.33	0.77	-999	0.13	0.0156	-999	-999	-999	-999	-999	2.111723	2.203377	-999	3.721	-999	0.14
CP02-1-0-AAA-R570	03-03-1995	1	19.77	6.22	-999	-999	26	19.77778	-999	3.59	-999	-999	3.4099	0.5033	85.294	-999	-999	-999	-999	3.443876	3.707916	-999	7.8793	-999	0.5
